c0, f0, o0, l0, t6, z0, b0, s3 - Aug-27
b0, t3, z6, l1, f0, s2, c0, o0 - Jun-21
b0, t3, z6, l1, f0, s2, o0, c0 - Jun-24
f0, z2, l1, b0, t3, c0, o0, s3 - Jun-21
f0, z2, l1, b0, t3, o0, c0, s3 - Jun-23
o0, z2, c0, t3, f0, b0, l1, s3 - Jun-14
c0, t3, b0, o0, z3, f0, l1, s3 - Aug-28
f0, t5, l1, c0, z6, b0, o0, s3 - Dec-14
f0, t5, l1, c0, z6, o0, b0, s3 - Dec-16
c0, t0, l1, s1, f0, z6, b0, o1 - Dec-25
b0, l1, z5, s2, t0, f0, c0, o1 - Feb-24
f0, t5, o1, l1, z7, s2, c0, b0 - Dec-21
b0, t2, o1, z6, f0, c0, l1, s3 - Feb-21
c0, t2, o1, z6, f0, b0, l1, s3 - Aug-14
b0, t3, z2, o1, f0, c0, l1, s3 - Jun-21
b0, t3, z5, s3, f0, l1, c0, o1 - Oct-24
b0, t5, z5, s3, f0, l1, c0, o1 - Sep-24
o1, c0, z5, f0, t7, b0, l1, s3 - Nov-29
c0, b0, l2, t2, z3, f0, s2, o0 - Aug-28
b0, t3, z2, l2, f0, s2, c0, o0 - Jun-21
b0, t3, z2, l2, f0, s2, o0, c0 - Jun-24
z6, s2, l2, t5, f0, b0, c0, o0 - Jan-21
z6, s2, l2, t5, f0, b0, o0, c0 - Jan-24
s1, l2, c0, f0, t0, o1, b0, z4 - Dec-23
s1, l2, c0, f0, t0, o1, b0, z6 - Dec-31
l2, c0, t0, s3, f0, o1, b0, z4 - Jul-28
t5, f0, c0, b0, l2, s3, o1, z4 - Oct-23
t5, f0, c0, b0, l2, s3, o1, z6 - Oct-31
c0, t5, s0, z7, f0, b0, o0, l3 - Aug-28
c0, t1, s2, z7, b0, f0, l3, o0 - Mar-4
c0, t7, s2, z7, b0, f0, l3, o0 - Apr-4
o0, z2, c0, t3, f0, s3, l3, b0 - Jun-17
b0, t2, o1, z1, s0, f0, l3, c0 - Feb-24
c0, t2, o1, z1, s0, f0, l3, b0 - Aug-17
c0, o1, l3, s1, t0, f0, b0, z0 - Aug-20
f0, o1, t2, c0, s2, z3, l3, b0 - Aug-10
c0, o1, t2, z5, s2, f0, l3, b0 - Aug-11
b0, t2, o1, z6, f0, s3, l3, c0 - Feb-24
c0, t2, o1, z6, f0, s3, l3, b0 - Aug-17
b0, t3, z2, o1, f0, s3, l3, c0 - Jun-24
o0, f1, l0, t7, z0, c0, b0, s3 - Oct-21
f1, c0, z2, l0, s1, t0, b0, o1 - Dec-25
f1, s0, c0, b0, z0, o0, l1, t1 - Sep-21
f1, s2, l1, t3, z7, c0, o0, b0 - Nov-19
f1, s2, l1, t3, z7, o0, c0, b0 - Nov-21
c0, f1, l1, t3, z0, o0, b0, s3 - Aug-11
z0, f1, b0, o0, l2, s2, c0, t3 - Nov-19
f1, o0, c0, l2, t0, s3, b0, z6 - Sep-31
s1, l2, b0, c0, t0, f1, z0, o1 - Jun-20
t4, z3, b0, s2, l2, c0, f1, o1 - Feb-21
z0, f1, s1, t3, c0, b0, o0, l3 - Nov-16
z0, f1, s1, t3, o0, b0, c0, l3 - Nov-21
t3, z4, s1, f1, o0, c0, b0, l3 - Dec-19
z0, t5, s1, f1, o0, c0, b0, l3 - Dec-19
f1, s2, c0, z7, b0, t2, l3, o0 - Nov-2
f1, s2, o0, z7, b0, t2, l3, c0 - Nov-23
c0, f1, s2, t7, z0, l3, o0, b0 - Oct-31
o0, f1, l3, t7, z4, c0, b0, s3 - Oct-21
c0, f1, o1, s0, b0, t3, l3, z4 - Aug-18
c0, f1, o1, s0, b0, t5, l3, z4 - Aug-17
c0, f1, s0, t7, b0, o1, l3, z4 - Aug-17
s1, f1, b0, t4, c0, z0, l3, o1 - Jun-25
c0, t1, s2, z6, b0, f1, l3, o1 - Mar-28
c0, t7, s2, z6, b0, f1, l3, o1 - Apr-28
f1, b0, z2, c0, t3, s3, l3, o1 - Jun-7
l0, o1, b0, s1, f2, z2, c0, t3 - Jun-19
t3, z7, b0, c0, s2, f2, l0, o1 - Jun-26
o0, l1, c0, t0, f2, z0, b0, s3 - Jun-10
c0, l1, z5, s0, f2, t7, b0, o1 - Aug-8
l1, z1, c0, t6, s1, f2, b0, o1 - Dec-31
b0, t3, l1, s3, c0, f2, z2, o1 - Jun-13
c0, l2, f2, o0, t6, z0, b0, s3 - Aug-27
o0, l2, c0, t6, f2, z0, b0, s3 - Jun-4
z0, l2, b0, t6, c0, f2, o0, s3 - Jun-11
z0, l2, b0, t6, o0, f2, c0, s3 - Jun-23
s1, l2, f2, b0, c0, z0, t1, o1 - Jun-21
